"","X","price","location","id","size","wg"
"72",NA,599,"
                            Rechte Bahngasse
                        

            1030 Wien 03. Bezirk Landstraße
            ",9712628,23,TRUE
"73",NA,NA,NA,9712629,NA,FALSE
"74",NA,NA,NA,9712630,NA,FALSE
"75",NA,300,NA,9712631,NA,TRUE
"76",NA,550,"
                            Stafflerstrasse 22
                        

            6020 Innsbruck Wilten
            ",9712632,16,TRUE
"77",NA,NA,NA,9712633,NA,FALSE
"78",NA,440,"
                            Hochstraße 23
                        

            12209 Berlin Lichterfelde
            ",9712634,12,TRUE
"79",NA,NA,"
                            Stralsunder Str.
                        

            18057 Rostock Hansaviertel
            ",9712635,NA,FALSE
"80",NA,280,"
                            Isarstraße 2
                        

            73529 Schwäbisch Gmünd Oberbettringen
            ",9712636,17,TRUE
"81",NA,800,NA,9712637,5,TRUE
"82",NA,NA,"
                            Gärtnerstraße
                        

            20253 Hamburg Eimsbüttel
            ",9712638,NA,FALSE
"83",NA,NA,NA,9712639,NA,FALSE
"84",NA,NA,NA,9712640,NA,FALSE
"85",NA,650,NA,9712641,10,TRUE
"86",NA,2270,"
                            Schnieglingerstr. 57
                        

            90419 Nürnberg St Johannis
            ",9712642,95,TRUE
"87",NA,500,NA,9712643,20,FALSE
"88",NA,300,"
                            Zietenstraße 12
                        

            23564 Lübeck St Jürgen
            ",9712644,12,TRUE
"89",NA,NA,"
                            Mayener Straße
                        

            56070 Koblenz Metternich
            ",9712645,NA,FALSE
"90",NA,507,"
                            ÖDENBURGER STRAßE
                        

            1210 Wien 21. Bezirk Floridsdorf
            ",9712646,140,TRUE
"91",NA,NA,NA,9712647,NA,FALSE
"92",NA,NA,NA,9712648,NA,FALSE
"93",NA,NA,NA,9712649,NA,FALSE
"94",NA,NA,NA,9712650,NA,FALSE
"95",NA,NA,NA,9712651,NA,FALSE
"96",NA,450,NA,9712652,NA,TRUE
"97",NA,NA,NA,9712653,NA,FALSE
"98",NA,730,"
                            Nazarethkirchstraße 51
                        

            13347 Berlin 
            ",9712654,10,TRUE
"99",NA,NA,NA,9712655,NA,FALSE
"100",NA,NA,NA,9712656,NA,FALSE
"101",NA,NA,NA,9712657,NA,FALSE
"102",NA,770,"
                            Nazarethkirchstraße 51
                        

            13347 Berlin 
            ",9712658,11,TRUE
